id,attribution_text,photo_url
10480,CC BY-SA 3.0,w
10486,OGL,w
10488,CC BY 2.0,w
10489,OGL,w
10490,OGL 3,w
10495,CC BY 2.0,w
10496,Public domain,w
10498,CC BY 2.0,w
10499,CC BY 3.0,p
10502,CC BY-SA 2.0,w
10503,OGL,w
10504,Public domain,w
10505,CC BY 3.0,p
10506,CC BY 3.0,p
10507,CC BY 2.0,w
10511,OGL,w
10518,CC BY 3.0,p
10519,OGL,w
10521,CC BY-SA 3.0,w
10523,CC BY 3.0,p
10525,CC BY 2.0,w
10527,CC BY-SA 2.0,w
10528,CC BY 2.5,w
10533,CC BY 2.0,w
10534,CC BY 3.0,p
10537,CC-BY-SA-3.0,w
10540,CC BY 2.0,w
10542,CC BY 3.0,p
10544,CC BY 2.0,w
10545,CC-BY-SA-3.0,w
10546,CC BY-SA 3.0,w
10549,Public domain,w
10550,CC BY-SA 4.0,w
10555,CC BY 3.0,p
10558,CC BY 3.0,p
10559,CC BY 3.0,p
10568,CC BY-SA 2.0,w
10571,CC BY-SA 2.0,w
10574,OGL,w
10575,CC BY 3.0,p
10577,Public domain,w
10578,OGL,w
10579,OGL,w
10580,CC BY 3.0,p
10581,OGL,w
10582,CC BY 3.0,p
10583,CC BY 3.0,w
10591,CC BY-SA 2.0,w
10593,CC BY-SA 4.0,w
10594,CC BY 3.0,p
10596,CC BY 3.0,p
10599,CC BY-SA 4.0,w
10600,Public domain,w
10602,CC BY 3.0,p
10604,CC BY 3.0,p
10605,CC BY 3.0,w
10610,CC BY 3.0,p
10611,CC BY 3.0,p
10612,CC BY-SA 3.0,w
10614,CC BY 3.0,p
10618,OGL,w
10620,CC BY 2.5 dk,w
10621,Public domain,w
10626,CC BY 2.0,w
10630,CC BY 3.0,p
10632,CC BY 3.0,p
10633,CC-BY-SA-3.0,w
10634,CC BY 3.0,w
10635,CC BY-SA 2.0,w
10637,CC BY 2.0,w
10641,CC BY-SA 3.0,w
10642,OGL,w
10647,CC BY-SA 3.0,w
10648,OGL,w
10650,CC0,w
10651,CC BY-SA 2.0,w
10652,CC BY 2.0,w
10656,CC BY 3.0,w
10658,CC BY 2.0,w
10659,CC BY 2.0,w
10660,OGL,w
10661,CC BY-SA 2.0,w
10669,CC BY 3.0,p
10670,CC BY-SA 2.0,w
10673,CC BY 2.0,w
10675,CC BY 2.0,w
10677,CC BY 2.0,w
10678,CC BY 3.0,p
10682,CC BY 3.0,p
10683,CC BY 3.0,p
10684,FAL,w
10685,CC BY 3.0,w
10707,CC BY 3.0,p
10709,CC BY-SA 3.0,w
10713,OGL,w
10716,CC BY-SA 3.0,w
10726,CC BY 3.0,p
10753,CC BY 3.0,p
10754,CC BY-SA 3.0,w
10761,CC BY 3.0,p
10766,OGL,w
10768,CC BY-SA 3.0,w
10770,CC BY 3.0,p
10775,CC BY 2.0,w
10777,OGL,w
10780,CC BY 2.0,w
10785,CC BY 3.0,p
10828,CC BY 3.0,p
10842,@WayneDavid_MP,
10854,CC BY 3.0,p
10857,CC BY 3.0,p
10858,CC BY 2.0,w
10868,CC BY 3.0,w
10879,OSPL,w
10882,CC BY 3.0,p
10884,OGL 3,w
10901,CC BY 3.0,p
10913,CC BY 2.0,w
10920,CC BY 3.0,p
10934,CC BY-SA 2.0,w
10941,OGL,w
10955,OGL,w
10961,CC BY-SA 2.0,w
10964,CC BY 2.0,w
11003,CC BY 3.0,p
11027,CC0,w
11032,CC BY 3.0,p
11036,CC BY-SA 3.0,w
11038,CC BY-SA 2.0,w
11048,CC BY 3.0,p
11057,CC BY 3.0,w
11076,CC BY-SA 2.0,w
11087,CC BY 3.0,p
11093,CC BY 3.0,p
11095,CC BY-SA 3.0,w
11113,CC BY-SA 2.0,w
11115,CC BY 3.0,p
11128,OGL,w
11132,CC BY 3.0,p
11145,CC BY-SA 3.0,w
11148,CC BY 3.0,p
11170,CC BY-SA 3.0,w
11172,CC BY 3.0,p
11174,CC BY-SA 3.0,w
11176,OGL,w
11189,CC BY-SA 2.5,w
11190,OGL,w
11199,CC BY-SA 3.0,w
11216,CC BY 3.0,p
11221,CC BY-SA 2.0,w
11224,CC BY-SA 2.0,w
11225,OGL,w
11265,CC BY 3.0,p
11267,CC BY 3.0,p
11280,CC BY 3.0,w
11291,CC BY 3.0,w
11308,OGL 2,w
11309,CC BY 3.0,p
11318,CC BY 3.0,p
11323,CC BY 3.0,p
11324,CC BY 2.0,w
11333,CC BY 3.0,p
11345,CC BY-SA 3.0,w
11346,OGL,w
11347,OGL,w
11350,CC BY-SA 3.0,w
11360,CC BY 3.0,p
11362,OGL,w
11374,CC BY 3.0,p
11377,CC BY 2.0,w
11389,CC BY 3.0,p
11397,CC BY 3.0,p
11402,CC BY 2.0,w
11406,CC BY 3.0,p
11408,CC BY 3.0,p
11420,CC BY-SA 2.0,w
11421,CC BY 3.0,p
11427,CC-BY-SA-3.0,w
11437,CC BY 3.0,p
11443,OGL,w
11447,CC BY 3.0,p
11450,CC BY 3.0,p
11455,CC BY-SA 4.0,w
11458,CC BY 2.0,w
11461,CC BY 3.0,p
11473,CC-BY-SA-3.0,w
11475,CC BY 3.0,p
11494,CC BY-SA 2.0,w
11500,OGL,w
11506,CC BY 3.0,p
11513,OGL,w
11531,CC BY 3.0,p
11534,Public domain,w
11541,CC BY 3.0,p
11542,OGL,w
11545,CC BY 2.0,w
11553,CC BY 2.0,w
11558,CC-BY-SA-3.0,w
11573,CC BY 2.0,w
11581,CC BY-SA 3.0,w
11588,CC BY 3.0,p
11589,CC BY 2.0,w
11592,CC BY 3.0,p
11599,@AdamHollowayMP,
11603,CC BY 3.0,p
11605,CC BY 3.0,p
11610,CC BY 3.0,p
11621,CC BY-SA 2.0,w
11626,CC BY 3.0,p
11633,CC BY 3.0,p
11640,CC BY 3.0,p
11641,CC BY-SA 2.0,w
11647,OGL,w
11651,Public domain,w
11656,CC BY 3.0,p
11660,Public domain,w
11661,CC BY 3.0,p
11667,CC BY 2.0,w
11668,OGL,w
11672,CC BY-SA 4.0,w
11675,CC BY-SA 3.0,w
11692,CC BY 3.0,p
11696,CC BY 3.0,p
11707,Public domain,w
11715,CC BY 3.0,p
11719,CC BY 3.0,w
11727,CC BY 3.0,p
11732,@jessicamordenmp,
11734,CC BY 2.0,w
11740,OGL,w
11759,@Stewart4Pboro,
11768,CC BY 3.0,p
11771,CC BY 3.0,p
11773,OGL,w
11784,CC BY 2.0,w
11785,CC BY 3.0,p
11791,OGL 2,w
11792,CC BY 3.0,p
11804,CC BY 3.0,p
11812,CC BY-SA 2.0,w
11814,CC BY-SA 3.0,w
11816,CC BY 3.0,p
11817,CC BY 3.0,p
11823,Public domain,w
11858,CC BY 3.0,p
11859,CC BY 3.0,p
11863,CC BY 2.0,w
11866,CC BY-SA 4.0,w
11869,CC BY 2.0,w
11878,CC BY-SA 4.0,w
11884,CC BY 3.0,p
11892,CC BY 3.0,p
11898,CC BY 3.0,p
11905,CC BY 3.0,w
11915,CC BY 3.0,p
11917,CC BY 3.0,p
11921,@lynbrownmp,
11923,CC BY-SA 4.0,w
11924,CC BY 3.0,p
11927,CC BY 3.0,p
11929,CC BY 3.0,p
11936,CC BY 3.0,p
11943,CC BY-SA 4.0,w
11946,CC BY 3.0,p
11963,CC-BY-SA-3.0,w
11970,CC BY 3.0,p
11971,CC BY 3.0,p
11973,CC BY 3.0,p
11974,CC BY-SA 2.0,w
11995,CC BY-SA 3.0,w
12004,CC BY-SA 2.0,w
12005,CC BY-SA 2.0,w
12016,CC BY-SA 3.0,w
13171,CC BY 2.0,w
13337,CC BY 2.0,w
16877,Public domain,w
13736,CC-BY-SA-3.0,w
13814,CC BY-SA 3.0,w
13825,CC BY 2.0,w
13836,CC BY 2.0,w
13852,CC BY 2.0,w
13856,Public domain,w
13864,CC BY 2.0,w
13893,CC BY 2.0,w
13904,CC BY 2.0,w
13933,CC BY 3.0,p
13934,CC BY 3.0,p
14026,CC BY 3.0,p
14128,OGL,w
14131,CC BY 3.0,p
14142,CC BY-SA 2.0,w
14146,@AnneMcLaughlin,
14155,CC BY-SA 4.0,w
16390,CC BY-SA 2.0,w
16402,CC BY-SA 3.0,w
16406,Public domain,w
16408,OGL,w
16413,GFDL,w
16431,CC BY-SA 4.0,w
16433,CC BY 2.0,w
16435,Public domain,w
16436,CC BY-SA 3.0 nl,w
16469,CC BY 2.0,w
16472,Public domain,w
16475,CC BY-SA 3.0,w
16495,CC-BY-SA-3.0,w
16760,CC BY-SA 3.0,w
16771,Public domain,w
16778,CC BY 3.0,w
16936,CC BY-SA 3.0,w
17004,CC BY-SA 2.0,w
17175,CC BY 2.0,w
17210,CC BY-SA 3.0,w
17319,CC BY-SA 3.0,w
17340,CC BY 2.0,w
17430,CC BY 2.0,w
17433,CC BY-SA 3.0 nl,w
17479,CC BY-SA 3.0 nl,w
17487,CC BY 2.0,w
17704,CC BY 3.0,w
17853,Public domain,w
17875,OGL,w
17916,CC BY 3.0,w
18019,CC BY-SA 3.0,w
18022,CC BY 2.0,w
18046,CC BY-SA 2.0,w
18128,CC BY-SA 3.0,w
18209,CC BY-SA 3.0,w
18240,Public domain,w
18261,CC BY-SA 3.0,w
18354,Public domain,w
18418,OGL,w
